customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,ValorCliente,GastoVsTiempo,Churn
8931-GJJIQ,Female,0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.6797880408519396,1.1058676472116071,Yes
2239-JALAW,Male,0,No,No,58.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),2.2954647725965365,0.27681457980609475,Yes
2654-VBVPB,Female,0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),-2.1197308978331226,-0.34698103914212347,No
9746-MDMBK,Male,0,Yes,Yes,47.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),2.0023496731589416,0.8368235253037491,No
5641-DMBFJ,Female,0,Yes,No,58.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,1.667859684253279,-0.1919817432642838,No
3352-ALMCK,Male,0,No,No,40.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,1.3132192476828053,0.7586650677132826,No
1921-KYSAY,Female,0,No,No,41.0,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,0.4263979470597093,-0.12940308475767126,No
8402-EIVQS,Male,0,Yes,No,67.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),2.673994479007892,-0.027266840940836118,No
0380-NEAVX,Male,1,No,No,34.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,0.906275147334475,0.854325157447501,No
9039-ZVJDC,Male,0,No,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,-2.076763675241623,-0.41833655331486214,No
8261-GWDBQ,Female,1,Yes,No,60.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),2.8135347337071517,0.5395166947746787,No
4145-UQXUQ,Female,1,No,No,8.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,-0.5817748482293809,1.3646977648268628,Yes
6906-ANDWJ,Male,0,Yes,Yes,15.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),-0.5884940851928804,0.7277889237790052,Yes
6999-CHVCF,Male,0,No,No,68.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),2.8377741966492946,-0.031999625579418586,No
1635-NZATJ,Male,1,Yes,No,71.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.10494766686413967,-1.9766966429885897,No
1867-TJHTS,Female,0,No,No,58.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1.4815344433451643,-0.29969910980956826,No
9137-NOQKA,Male,1,No,No,2.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,-2.1028944167944403,-0.39059183276081727,No
1670-SVOWZ,Female,0,Yes,Yes,14.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),-0.3433189052560028,1.1386391261561848,Yes
6892-BOGQE,Female,0,Yes,No,71.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),-0.0550731892211802,-2.088354989585929,No
6615-NGGZJ,Male,0,No,No,14.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,-0.10645736657154019,1.4202949625430272,Yes
